id,scheduler_type,lr,min_lr,decay_epochs,step_size,gamma,total_steps,inverse_warm_up_step,patience,threshold,dev_reference_bleu,dev_input_bleu,dev_penalized_bleu
1,Step decay,1e-03,1e-07,1,308,0.5,,None,,,0.0042,0.0040,0.0081
2,Step decay,1e-03,1e-07,1,308,0.2,,None,,,0.0042,0.0040,0.0081
3,Step decay,1e-03,1e-07,1,308,0.1,,None,,,0.0042,0.0040,0.0081
4,Step decay,1e-03,1e-07,2,616,0.5,,None,,,0.0042,0.0040,0.0081
5,Step decay,1e-03,1e-07,2,616,0.2,,None,,,0.0042,0.0040,0.0081
6,Step decay,1e-03,1e-07,2,616,0.1,,None,,,0.0042,0.0040,0.0081
7,Step decay,1e-03,1e-07,3,924,0.5,,None,,,0.0042,0.0040,0.0081
8,Step decay,1e-03,1e-07,3,924,0.2,,None,,,0.0042,0.0040,0.0081
9,Step decay,1e-03,1e-07,3,924,0.1,,None,,,0.0042,0.0040,0.0081
10,Step decay,1e-04,1e-07,1,308,0.5,,None,,,46.1225,79.6345,18.0636
11,Step decay,1e-04,1e-07,1,308,0.2,,None,,,47.3100,84.5849,14.0248
12,Step decay,1e-04,1e-07,1,308,0.1,,None,,,47.8621,86.2523,12.6537
13,Step decay,1e-04,1e-07,2,616,0.5,,None,,,44.5942,76.5706,20.0926
14,Step decay,1e-04,1e-07,2,616,0.2,,None,,,46.7597,81.2418,16.8678
15,Step decay,1e-04,1e-07,2,616,0.1,,None,,,46.5604,82.0296,16.0905
16,Step decay,1e-04,1e-07,3,924,0.5,,None,,,42.1565,73.1281,21.7851
17,Step decay,1e-04,1e-07,3,924,0.2,,None,,,42.1565,73.1281,21.7851
18,Step decay,1e-04,1e-07,3,924,0.1,,None,,,42.1565,73.1281,21.7851
19,Step decay,1e-05,1e-07,1,308,0.5,,None,,,48.8444,94.2596,5.3921
20,Step decay,1e-05,1e-07,1,308,0.2,,None,,,48.7207,96.0419,3.7084
21,Step decay,1e-05,1e-07,1,308,0.1,,None,,,48.9112,96.4586,3.3311
22,Step decay,1e-05,1e-07,2,616,0.5,,None,,,48.6384,90.0102,9.3440
23,Step decay,1e-05,1e-07,2,616,0.2,,None,,,48.7032,93.7172,5.8845
24,Step decay,1e-05,1e-07,2,616,0.1,,None,,,48.7245,94.1514,5.4802
25,Step decay,1e-05,1e-07,3,924,0.5,,None,,,48.4788,87.1102,12.0170
26,Step decay,1e-05,1e-07,3,924,0.2,,None,,,48.7459,90.1498,9.2338
27,Step decay,1e-05,1e-07,3,924,0.1,,None,,,48.7433,91.7289,7.7531
28,Linear decay,1e-05,1e-06,,,,1540,None,,,48.8003,91.3644,8.1042
29,Linear decay,1e-05,2e-06,,,,1540,None,,,48.4397,91.3266,8.0796
30,Linear decay,1e-05,5e-06,,,,1540,None,,,48.2923,87.5470,11.5651
31,Linear decay,2e-05,1e-06,,,,1540,None,,,48.1090,88.4786,10.6593
32,Linear decay,2e-05,2e-06,,,,1540,None,,,47.4143,85.3911,13.3206
33,Linear decay,2e-05,5e-06,,,,1540,None,,,47.6035,82.7402,15.8005
34,Linear decay,5e-05,1e-06,,,,1540,None,,,46.4726,81.7165,16.3400
35,Linear decay,5e-05,2e-06,,,,1540,None,,,46.6066,84.8960,13.5374
36,Linear decay,5e-05,5e-06,,,,1540,None,,,47.6811,87.6650,11.3105
37,Linear decay,1e-04,1e-06,,,,1540,None,,,46.3186,81.8649,16.1537
38,Linear decay,1e-04,2e-06,,,,1540,None,,,34.8555,64.0708,24.0833
39,Linear decay,1e-04,5e-06,,,,1540,None,,,46.2525,79.3179,18.3962
40,Cosine decay,1e-05,1e-06,,,,1540,None,,,48.6739,92.6041,6.9228
41,Cosine decay,1e-05,2e-06,,,,1540,None,,,48.5021,91.2907,8.1234
42,Cosine decay,1e-05,5e-06,,,,1540,None,,,48.4059,89.8842,9.4166
43,Cosine decay,2e-05,1e-06,,,,1540,None,,,48.6154,90.9816,8.4314
44,Cosine decay,2e-05,2e-06,,,,1540,None,,,48.0509,90.8375,8.4667
45,Cosine decay,2e-05,5e-06,,,,1540,None,,,47.9610,89.3548,9.8184
46,Cosine decay,5e-05,1e-06,,,,1540,None,,,46.1692,79.0771,18.5768
47,Cosine decay,5e-05,2e-06,,,,1540,None,,,46.6614,81.0484,17.0059
48,Cosine decay,5e-05,5e-06,,,,1540,None,,,46.5291,80.5299,17.4216
49,Cosine decay,1e-04,1e-06,,,,1540,None,,,46.7160,83.2764,15.0243
50,Cosine decay,1e-04,2e-06,,,,1540,None,,,46.9698,83.5854,14.8267
51,Cosine decay,1e-04,5e-06,,,,1540,None,,,45.8081,79.7121,17.8721
52,Inverse square root,2e-05,2e-06,,,,1540,0,,,48.73835175198956,97.04118908644742,2.7732224436990644
53,Inverse square root,2e-05,2e-06,,,,1540,2,,,48.92368301002513,97.85532557843138,2.0177956069333147
54,Inverse square root,2e-05,5e-06,,,,1540,0,,,39.48479890084121,75.29600528777023,18.75831275499687
55,Inverse square root,2e-05,5e-06,,,,1540,2,,,48.36139781635347,95.54884869447373,4.139690365910325
56,Inverse square root,5e-05,2e-06,,,,1540,0,,,48.67475000855003,95.95338727912933,3.787843510957659
57,Inverse square root,5e-05,2e-06,,,,1540,2,,,48.62208236113327,94.59812953547653,5.050965204427565
58,Inverse square root,5e-05,5e-06,,,,1540,0,,,48.46535597996172,93.29221209500214,6.251833243342362
59,Inverse square root,5e-05,5e-06,,,,1540,2,,,48.140162790265116,94.62908052436103,4.972248805589719
60,Inverse square root,1e-04,2e-06,,,,1540,0,,,48.575374145931086,94.55592372311825,5.085539269779198
61,Inverse square root,1e-04,2e-06,,,,1540,2,,,48.61233867932467,92.71737133053308,6.808184833767026
62,Inverse square root,1e-04,5e-06,,,,1540,0,,,48.69153598580268,93.47089511971086,6.113695100647664
63,Inverse square root,1e-04,5e-06,,,,1540,2,,,48.43203100149661,92.56084849260112,6.928715700599473
64,Constant learning rate,1e-03,0.0,,,,,None,,,0.004223161952526687,0.003994985084735947,0.008121140841993422
65,Constant learning rate,1e-04,0.0,,,,,None,,,42.15653457591407,73.12812254787531,21.78510059481193
66,Constant learning rate,0.0002,0.0,,,,,None,,,0.7035613756023199,1.0938804086033704,1.3382024145232803
67,Constant learning rate,0.0005,0.0,,,,,None,,,0.008217166374816681,0.007865363483509177,0.01580100012464088
68,Constant learning rate,1e-05,0.0,,,,,None,,,48.1364711499116,88.2865682627019,10.843139786325166
69,Constant learning rate,5e-05,0.0,,,,,None,,,45.85482942440713,80.53568142312453,17.164096311633532
70,Constant learning rate,2e-05,0.0,,,,,None,,,46.2204,79.9772,17.7973
71,Constant learning rate,3e-05,0.0,,,,,None,,,46.5307,81.7639,16.3180
72,Constant learning rate,4e-05,0.0,,,,,None,,,45.1790,80.6597,16.8034
73,Constant learning rate,7e-05,0.0,,,,,None,,,44.4819,76.9212,19.7421
74,Constant learning rate,9e-05,0.0,,,,,None,,,42.6154,73.2415,21.9293
75,Constant learning rate,1e-041,0.0,,,,,None,,,42.8679,74.3334,21.1591
76,Constant learning rate,1e-0425,0.0,,,,,None,,,44.3238,75.5372,20.8516
77,Metric dependent,2e-05,0,,,0.1,,None,0,3,47.9883,86.8995,12.0898
78,Metric dependent,2e-05,0,,,0.1,,None,0,4,48.6880,91.7971,7.6805
79,Metric dependent,2e-05,0,,,0.1,,None,1,3,46.2204,79.9772,17.7973
80,Metric dependent,2e-05,0,,,0.1,,None,1,4,46.2204,79.9772,17.7973
81,Metric dependent,2e-05,0,,,0.2,,None,0,3,47.2718,83.8035,14.7238
82,Metric dependent,2e-05,0,,,0.2,,None,0,4,48.3951,90.1885,9.1313
