scheduler_type,lr,min_lr,decay_epochs,step_size,gamma,dev_reference_bleu,dev_input_bleu,dev_penalized_bleu
Step decay,0.001,1e-07,1,308,0.5,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,1,308,0.2,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,1,308,0.1,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,2,616,0.5,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,2,616,0.2,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,2,616,0.1,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,3,924,0.5,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,3,924,0.2,0.0042,0.0040,0.0081
Step decay,0.001,1e-07,3,924,0.1,0.0042,0.0040,0.0081
Step decay,0.0001,1e-07,1,308,0.5,46.1225,79.6345,18.0636
Step decay,0.0001,1e-07,1,308,0.2,47.3100,84.5849,14.0248
Step decay,0.0001,1e-07,1,308,0.1,47.8621,86.2523,12.6537
Step decay,0.0001,1e-07,2,616,0.5,44.5942,76.5706,20.0926
Step decay,0.0001,1e-07,2,616,0.2,46.7597,81.2418,16.8678
Step decay,0.0001,1e-07,2,616,0.1,46.5604,82.0296,16.0905
Step decay,0.0001,1e-07,3,924,0.5,42.1565,73.1281,21.7851
Step decay,0.0001,1e-07,3,924,0.2,42.1565,73.1281,21.7851
Step decay,0.0001,1e-07,3,924,0.1,42.1565,73.1281,21.7851
Step decay,1e-05,1e-07,1,308,0.5,48.8444,94.2596,5.3921
Step decay,1e-05,1e-07,1,308,0.2,48.7207,96.0419,3.7084
Step decay,1e-05,1e-07,1,308,0.1,48.9112,96.4586,3.3311
Step decay,1e-05,1e-07,2,616,0.5,48.6384,90.0102,9.3440
Step decay,1e-05,1e-07,2,616,0.2,48.7032,93.7172,5.8845
Step decay,1e-05,1e-07,2,616,0.1,48.7245,94.1514,5.4802
Step decay,1e-05,1e-07,3,924,0.5,48.4788,87.1102,12.0170
Step decay,1e-05,1e-07,3,924,0.2,48.7459,90.1498,9.2338
Step decay,1e-05,1e-07,3,924,0.1,48.7433,91.7289,7.7531
