id,epoch,loss,dev_reference_bleu,dev_input_bleu,dev_penalized_bleu,next_lr
1,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.0005
1,2,6.9394,0.0,0.0,0.0,0.00025
1,3,6.8375,0.0,0.0,0.0,0.000125
1,4,6.7844,0.0,0.0,0.0,6.25e-05
1,5,6.7434,0.0,0.0,0.0,3.125e-05
2,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.0002
2,2,6.8940,0.0,0.0,0.0,4e-05
2,3,6.8133,0.0,0.0,0.0,8e-06
2,4,6.7867,0.0,0.0,0.0,1.6e-06
2,5,6.7776,0.0,0.0,0.0,3.2e-07
3,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.0001
3,2,6.8868,0.0,0.0,0.0,1e-05
3,3,6.8249,0.0,0.0,0.0,1e-06
3,4,6.8146,0.0,0.0,0.0,1e-07
3,5,6.8106,0.0,0.0,0.0,1e-07
4,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.001
4,2,6.9977,0.0,0.0,0.0,0.0005
4,3,6.8425,0.0,0.0,0.0,0.0005
4,4,6.8136,0.0,0.0,0.0,0.00025
4,5,6.7403,0.0,0.0,0.0,0.00025
5,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.001
5,2,6.9977,0.0,0.0,0.0,0.0002
5,3,6.8075,0.0,0.0,0.0,0.0002
5,4,6.7782,0.0,0.0,0.0,4e-05
5,5,6.7207,0.0,0.0,0.0,4e-05
6,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.001
6,2,6.9977,0.0,0.0,0.0,0.0001
6,3,6.7993,0.0,0.0,0.0,0.0001
6,4,6.7655,0.0,0.0,0.0,1e-05
6,5,6.7284,0.0,0.0,0.0,1e-05
7,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.001
7,2,6.9977,0.0,0.0,0.0,0.001
7,3,6.8998,0.0,0.0,0.0,0.0005
7,4,6.7926,0.0,0.0,0.0,0.0005
7,5,6.7633,0.0,0.0,0.0,0.0005
8,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.001
8,2,6.9977,0.0,0.0,0.0,0.001
8,3,6.8998,0.0,0.0,0.0,0.0002
8,4,6.7514,0.0,0.0,0.0,0.0002
8,5,6.7246,0.0,0.0,0.0,0.0002
9,1,7.6004,0.004223161952526687,0.003994985084735947,0.008121140841993422,0.001
9,2,6.9977,0.0,0.0,0.0,0.001
9,3,6.8998,0.0,0.0,0.0,0.0001
9,4,6.7427,0.0,0.0,0.0,0.0001
9,5,6.7130,0.0,0.0,0.0,0.0001
10,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,5e-05
10,2,0.9733,46.67870064827541,83.4144417838787,14.888313597209056,2.5e-05
10,3,0.6218,47.88305195937809,86.16539493337278,12.739290639284357,1.25e-05
10,4,0.4412,46.63541710775243,80.87039690529913,17.156096527444745,6.25e-06
10,5,0.3575,46.12246594141857,79.63449545240722,18.063601728387553,3.125e-06
11,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,2e-05
11,2,0.9240,47.486169586366536,86.45090251188833,12.372975789666992,4e-06
11,3,0.6996,47.30999998466049,84.58491473732536,14.024763145013024,8e-07
11,4,0.6459,47.443968548859615,85.32313140101786,13.39094023472796,1.6e-07
11,5,0.6348,47.46062836961697,85.0074154654869,13.68379774793448,1e-07
12,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,1e-05
12,2,0.9488,47.80749126579356,86.52387757053673,12.389607795064041,1e-06
12,3,0.7924,47.83465137587412,86.30935152996432,12.593988397573101,1e-07
12,4,0.7737,47.89264557025153,86.31590577563755,12.603220666102251,1e-07
12,5,0.7709,47.862097830483336,86.25234243454241,12.653687141113757,1e-07
13,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,0.0001
13,2,1.1151,45.317029264069596,82.69267325653469,15.083012163777536,5e-05
13,3,0.6636,46.439716640899306,83.57454167743064,14.669108273019654,5e-05
13,4,0.4512,44.59422123952494,76.57055654848598,20.092649707610672,2.5e-05
13,5,0.2821,46.4471098996556,79.93477718752872,17.92253094484481,2.5e-05
14,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,0.0001
14,2,1.1151,45.317029264069596,82.69267325653469,15.083012163777536,2e-05
14,3,0.5892,47.53386423312249,85.62109128075215,13.143944132330546,2e-05
14,4,0.4280,46.444576030134215,81.77428730810483,16.278567285040523,4e-06
14,5,0.3127,46.75966682887726,81.24182735244374,16.867805833044027,4e-06
15,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,0.0001
15,2,1.1151,45.317029264069596,82.69267325653469,15.083012163777536,1e-05
15,3,0.6010,47.18724792531251,84.64946095344557,13.929801764941429,1e-05
15,4,0.4893,46.56035273828311,82.02962987215969,16.09051484595674,1e-06
15,5,0.4433,46.817996558135945,82.82523276026056,15.46323449070975,1e-06
16,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,0.0001
16,2,1.1151,45.317029264069596,82.69267325653469,15.083012163777536,0.0001
16,3,0.7765,42.15653457591407,73.12812254787531,21.78510059481193,5e-05
16,4,0.4591,43.655541598994816,74.40529740634346,21.487511611370643,5e-05
16,5,0.3072,45.07737596146103,78.95091221253634,18.246877766178798,5e-05
17,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,0.0001
17,2,1.1151,45.317029264069596,82.69267325653469,15.083012163777536,0.0001
17,3,0.7765,42.15653457591407,73.12812254787531,21.78510059481193,2e-05
17,4,0.4047,46.21569778364939,80.5211310421575,17.312106171595353,2e-05
17,5,0.2724,45.65601897247995,80.26656486864147,17.325963245182837,2e-05
18,1,1.6775,46.8763998679243,87.02059078605666,11.700538006965944,0.0001
18,2,1.1151,45.317029264069596,82.69267325653469,15.083012163777536,0.0001
18,3,0.7765,42.15653457591407,73.12812254787531,21.78510059481193,1e-05
18,4,0.4125,46.42680803158639,82.60707963163995,15.528803366356174,1e-05
18,5,0.3007,46.05361534356908,80.88735678213177,16.92704459528034,1e-05
19,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,5e-06
19,2,1.2184,48.90272627540755,95.28389502521374,4.435199820539624,2.5e-06
19,3,1.1467,48.86301480018308,95.38775415833085,4.3340045542992796,1.25e-06
19,4,1.0989,48.76618455130722,94.40658481844343,5.245567634920596,6.25e-07
19,5,1.0815,48.844394545370044,94.259562622566,5.392080540891844,3.125e-07
20,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,2e-06
20,2,1.2249,48.74775798422989,96.08335851423537,3.6716825242124753,4e-07
20,3,1.1932,48.721202311606596,96.05921639030868,3.692302221423736,1e-07
20,4,1.1763,48.72068342472857,96.04194639827024,3.708443778999659,1e-07
20,5,1.1809,48.929118044551146,96.21833133152407,3.5583406285622954,1e-07
21,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-06
21,2,1.2329,48.90850713602584,96.75370259297586,3.0532992287904337,1e-07
21,3,1.2182,48.95799958417394,96.58870300810642,3.2117360905888392,1e-07
21,4,1.2068,48.92392155539342,96.54603060888451,3.249648606647391,1e-07
21,5,1.2119,48.91120037350774,96.45856531034643,3.331073494525711,1e-07
22,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-05
22,2,1.2292,48.451569513579095,94.9928377584479,4.66547825792942,5e-06
22,3,1.1048,48.992098866848636,95.26191144772429,4.464017361403373,5e-06
22,4,1.0297,48.671002480798826,92.99024348319216,6.5609976311413485,2.5e-06
22,5,0.9971,48.63835239781875,90.01018063890596,9.344006816835467,2.5e-06
23,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-05
23,2,1.2292,48.451569513579095,94.9928377584479,4.66547825792942,2e-06
23,3,1.0887,48.79346360398411,94.67403847998457,4.997540568905626,2e-06
23,4,1.0508,48.69683132656693,94.25497957729758,5.380082509461966,4e-07
23,5,1.0261,48.70318954145562,93.71716692663821,5.884500192870485,4e-07
24,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-05
24,2,1.2292,48.451569513579095,94.9928377584479,4.66547825792942,1e-06
24,3,1.0920,48.7267140107117,95.14237262769137,4.5518503796362975,1e-06
24,4,1.0622,48.84606905173386,94.56888039909728,5.101708520267682,1e-07
24,5,1.0494,48.72448697575606,94.15139015944882,5.48020219235028,1e-07
25,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-05
25,2,1.2292,48.451569513579095,94.9928377584479,4.66547825792942,1e-05
25,3,1.1143,48.670043322505656,95.3392428869688,4.362293280902013,5e-06
25,4,0.9719,49.01993369033113,92.23465167363423,7.320324231553341,5e-06
25,5,0.9295,48.47880397232339,87.11019280540059,12.016969927462089,5e-06
26,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-05
26,2,1.2292,48.451569513579095,94.9928377584479,4.66547825792942,1e-05
26,3,1.1143,48.670043322505656,95.3392428869688,4.362293280902013,2e-06
26,4,0.9677,48.593369217012146,91.43140406189866,8.007248963299018,2e-06
26,5,0.9541,48.74588602608516,90.14976731971221,9.233813837763998,2e-06
27,1,1.4613,48.707359638910845,97.62368753984222,2.22584433867942,1e-05
27,2,1.2292,48.451569513579095,94.9928377584479,4.66547825792942,1e-05
27,3,1.1143,48.670043322505656,95.3392428869688,4.362293280902013,1e-06
27,4,0.9686,48.713191727233045,92.50635987595302,7.0199832326459,1e-06
27,5,0.9627,48.7433002102883,91.72890999992867,7.753081210380578,1e-06
28,1,1.5238,48.800765644293314,97.01183196465969,2.804324769200207,8.2e-06
28,2,1.2245,48.287697872903344,93.74840971750257,5.805286592046432,6.4e-06
28,3,1.1219,48.38973486221158,94.65674378639103,4.97228368225774,4.6e-06
28,4,1.0371,48.873031269354286,92.71202859722518,6.849716428037949,2.8e-06
28,5,0.9831,48.80032588907482,91.36443993559563,8.104195103415641,1e-06
29,1,1.5644,48.12133561361488,98.59680554690786,1.2985306001617247,8.4e-06
29,2,1.2586,48.34799979280456,95.5012067709722,4.182839502017432,6.8e-06
29,3,1.1564,48.47279022529892,95.84286851176594,3.875149280156811,5.2e-06
29,4,1.0560,48.463498977163894,92.16296283127554,7.304043130970644,3.6e-06
29,5,1.0045,48.43968177659974,91.32655746098169,8.079592240339812,2e-06
30,1,1.4460,48.42718762209953,97.64601834505851,2.192244447362154,9e-06
30,2,1.2089,48.742237804557334,94.25308864721299,5.386871534601052,8e-06
30,3,1.0969,48.4731310436503,95.67356376162607,4.032998283359557,7e-06
30,4,1.0056,48.721823964008436,92.94282697752696,6.612275801624628,6e-06
30,5,0.9251,48.29226556625614,87.54698465050753,11.56508316073759,5e-06
31,1,1.8343,48.395404562258044,96.01368936565572,3.7099829973062084,1.62e-05
31,2,1.2043,48.25597896737246,93.05523343513173,6.444740563222979,1.24e-05
31,3,1.0518,48.08852172049553,93.51536560461916,5.9968554225335335,8.6e-06
31,4,0.9328,48.010173649864676,89.87532216837266,9.347837323949305,4.8e-06
31,5,0.8480,48.10903549541207,88.47861288376,10.659285033299495,1e-06
32,1,1.4536,48.62753742364289,95.02876079345141,4.648829241506198,1.64e-05
32,2,1.1637,48.357279300454294,93.05447446546847,6.458975349264964,1.28e-05
32,3,1.0101,48.663495444152524,92.4665896518664,7.050040002987133,9.2e-06
32,4,0.8786,48.13189970116488,89.62711784119308,9.601279301532639,5.6e-06
32,5,0.7912,47.414261062310445,85.3910769875811,13.320601722115855,2e-06
33,1,1.4438,48.863549781468166,94.89245081557664,4.799480458353233,1.7e-05
33,2,1.1529,48.37391482799533,91.78952222120418,7.637941399396486,1.4e-05
33,3,0.9886,48.736790884163625,93.18157095986592,6.390545197836982,1.1e-05
33,4,0.8430,47.85849722677968,86.93449246267735,12.024914543104323,8e-06
33,5,0.7464,47.60350826777083,82.7402098013486,15.800510873490229,5e-06
34,1,1.5704,48.40941973631416,93.65043283665354,5.911131960660705,4.02e-05
34,2,1.0704,47.80215621212799,88.58706681028352,10.491592599488607,3.04e-05
34,3,0.7991,48.22432485571163,87.80325419071482,11.311150617105918,2.06e-05
34,4,0.6236,47.16276960926522,84.319050177214,14.222250456663549,1.08e-05
34,5,0.4853,46.47258446143846,81.71648508165374,16.340042140284933,1e-06
35,1,1.6783,48.629861360444494,96.46121975944936,3.3094306246741896,4.04e-05
35,2,1.1349,48.207360503379945,90.92189353962297,8.415991361989576,3.08e-05
35,3,0.8638,48.028661489052475,90.78967380598579,8.506916134155034,2.12e-05
35,4,0.6671,47.25572167903674,85.49369291735277,13.18280788631186,1.16e-05
35,5,0.5371,46.60662366492452,84.8959804794717,13.537449108094924,2e-06
36,1,1.5373,48.20028241260008,95.02652564512987,4.6100551630108555,4.1e-05
36,2,1.5399,47.244351895816536,89.4591970596114,9.576796218849553,3.2e-05
36,3,1.2472,47.98498486604953,89.92115732362596,9.300636794098121,2.3e-05
36,4,0.9591,47.68112217813116,87.66499535425194,11.310516607340933,1.4e-05
36,5,0.8466,47.329392318556266,87.57993196606638,11.304505242330846,5e-06
37,1,1.6695,47.73258752431857,90.82502946671026,8.422020846409541,8.02e-05
37,2,1.0570,46.768747872199796,85.8843313648423,12.695618220100178,6.04e-05
37,3,0.9616,45.603576209154014,84.46546573797069,13.62365994408015,4.06e-05
37,4,0.6480,46.74465381917964,83.21512905830622,15.08851887632853,2.08e-05
37,5,0.4174,46.3186077218328,81.86488324037573,16.153718445743692,1e-06
38,1,1.6421,46.24335119557041,88.03603118226758,10.639500225601033,8.04e-05
38,2,1.1004,34.85547067976795,64.07079110385354,24.0832593697479,6.08e-05
38,3,0.8290,47.08959933144808,84.68794937263183,13.866121711261828,4.12e-05
38,4,0.4887,46.468394726324576,81.86213961373315,16.208408767692575,2.16e-05
38,5,0.3639,46.732106869743646,81.36930016033534,16.743304922410086,2e-06
39,1,1.9127,46.38649585268123,87.68435433797211,10.986147046629775,8.1e-05
39,2,1.0636,46.87682758264864,86.89651859076909,11.812493052941521,6.2e-05
39,3,0.6895,46.198637378484456,81.73081906763542,16.230985867235262,4.3e-05
39,4,0.4539,45.18086244940938,79.42877626447337,17.873569807901042,2.4e-05
39,5,0.2879,46.252541702588545,79.31788627291459,18.396160147301863,5e-06
40,1,1.4619,48.50985095339016,97.61554914542214,2.2244106838703073,9.1405765e-06
40,2,1.2339,48.52626541388081,94.2823701125913,5.335677412591005,6.8905765e-06
40,3,1.1275,48.815386237745116,95.40640084231592,4.312275328917867,4.1094235e-06
40,4,1.0413,48.457679316537586,92.99640561653314,6.52649866725271,1.8594235e-06
40,5,1.0009,48.67394671753974,92.60413524838327,6.922806285583132,1e-06
41,1,1.4585,48.72567937888063,97.7861158210686,2.074480974703606,9.236068e-06
41,2,1.2170,48.8200609116969,95.06639890404116,4.631898192667787,7.236068e-06
41,3,1.1133,48.61554826871059,95.61870230360803,4.096138262279505,4.763932e-06
41,4,1.0221,48.42139905396512,92.99021096485134,6.527380618366196,2.763932e-06
41,5,0.9705,48.50206227068108,91.29072103493102,8.123422898009775,2e-06
42,1,1.4654,48.750886690954516,97.7962481702403,2.0660549182230508,9.5225425e-06
42,2,1.2286,48.49288272286255,95.02552272037893,4.6389758332347855,8.2725425e-06
42,3,1.1178,48.62970622411849,95.20238001242554,4.4866702032827925,6.7274575e-06
42,4,1.0189,48.50394663554263,92.13932248744456,7.33219004977306,5.4774575e-06
42,5,0.9484,48.40588564562306,89.88424299048772,9.416580327333872,5e-06
43,1,1.4625,48.89938154096569,96.47728295238117,3.3126670186995613,1.8185661e-05
43,2,1.1839,48.64113050187344,93.28277705208426,6.283333038841321,1.3435661e-05
43,3,2.3652,1.0610317946932125e-21,1.3002839980314312e-21,2.0404457590254088e-21,7.5643386e-06
43,4,1.6002,48.4606606202185,91.26586765294049,8.139650451594683,2.8143386e-06
43,5,1.3733,48.61535334957958,90.98159539355659,8.431402434456205,1e-06
44,1,1.5539,48.96176023287595,97.0062113659378,2.81886848632428,1.8281153e-05
44,2,1.3818,48.62940744676307,95.69858866846018,4.022597773799496,1.3781153e-05
44,3,1.1384,48.363475766787225,93.6841196043282,5.874190931961528,8.2188471e-06
44,4,0.9536,47.823181790089535,91.58211509270015,7.741731542497149,3.7188471e-06
44,5,0.8879,48.05093800377794,90.83750296696195,8.466664940275205,2e-06
45,1,1.4777,48.64525404853473,98.3401749489852,1.5527425246680264,1.8567627e-05
45,2,1.1894,48.55112240828165,93.43933558096244,6.125531178622131,1.4817627e-05
45,3,1.0265,48.598664080361594,93.53092765887008,6.045928338810214,1.0182373e-05
45,4,0.8907,48.339365164278405,91.44202585285507,7.955519949332556,6.4323725e-06
45,5,0.8059,47.96100166355898,89.35477644708025,9.81837662558733,5e-06
46,1,1.4907,47.91829072931924,91.74681707251614,7.60535421079665,4.5320916e-05
46,2,1.0255,47.40156639539261,87.71975424641678,11.194286239234865,3.3070916e-05
46,3,0.7221,48.31954171197158,87.10989758205717,11.97776618183412,1.7929084e-05
46,4,0.5107,46.6144603195352,79.38176324533053,18.48284575114081,5.6790836e-06
46,5,0.4036,46.169175651856534,79.07707187282526,18.576814304898082,1e-06
47,1,1.5053,48.15241152630139,92.71591906476151,6.745116592009428,4.5416408e-05
47,2,1.0418,47.737820241489715,89.23573404644526,9.881972944661232,3.3416408e-05
47,3,0.7413,47.529827902017274,86.93402126048693,11.942763862701401,1.8583592e-05
47,4,0.5257,46.920450659532946,83.0262156813733,15.315723262070732,6.5835921e-06
47,5,0.4166,46.66140343040091,81.04840473584494,17.00592369750797,2e-06
48,1,1.6137,48.4746629585334,93.78502180059559,5.793634105976187,4.5702882e-05
48,2,1.0748,47.96275038160264,89.81697462019835,9.39242123886444,3.4452882e-05
48,3,0.7776,47.684030656515006,88.11334661847884,10.900068158611974,2.0547118e-05
48,4,0.5649,47.04900569112123,83.36557702135384,15.050635795977708,9.2971176e-06
48,5,0.4504,46.52909475698972,80.52990901659163,17.42164823642729,5e-06
49,1,1.8093,47.9052361593517,91.56660085019165,7.769307267262404,9.0546341e-05
49,2,1.1326,46.32371939798935,85.87412945372172,12.5839012199638,6.5796341e-05
49,3,0.7215,46.53887692805305,84.98187786070685,13.440894960212173,3.5203659e-05
49,4,0.5300,46.69684252950546,84.02070885016295,14.34966235686656,1.0453659e-05
49,5,0.3274,46.716010653578934,83.27636885979369,15.024256356007736,1e-06
50,1,1.9311,48.043954004804824,92.13717362019041,7.2646397872949615,9.0641833e-05
50,2,1.1836,47.049548520584736,87.6710167841423,11.155251808153306,6.6141833e-05
50,3,0.7858,47.51536354958189,87.82427952218661,11.125649711180614,3.5858167e-05
50,4,0.5199,47.34832612570103,84.7916811814671,13.847854600837154,1.1358167e-05
50,5,0.4161,46.96979533981342,83.58539369633623,14.826744205128822,2e-06
51,1,1.6810,46.23611136555872,86.60733768253854,11.908165892143646,9.0928307e-05
51,2,1.0599,45.322174562984245,81.81690592685946,15.848026224577685,6.7178307e-05
51,3,0.6655,46.92393599338781,83.70341563438494,14.705766955441646,3.7821693e-05
51,4,0.3970,46.69473262492817,80.83831778552396,17.206723608630778,1.4071693e-05
51,5,0.2649,45.808109875202774,79.71213767928232,17.872088967700417,5e-06
